seed,alpha,jaccard_mean,jaccard_median,jaccard_p10,spearman_mean,kendall_mean,n_downweighted,min_weight,mean_weight
4,0.034,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
4,0.059,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
4,0.083,1.0,1.0,1.0,0.9999999999999998,1.0,0,1.0,1.0
4,0.107,0.9895723994535419,1.0,0.9459459459459459,0.9999680418640227,0.9980391619169312,2,0.9610793099559107,1.0000000000000002
4,0.132,0.9827877468459194,1.0,0.9459459459459459,0.9998856840573386,0.9957658298378347,2,0.8750333718500102,0.9999999999999998
4,0.156,0.9758002093848231,1.0,0.9459459459459459,0.9998150279134279,0.9940468791922179,4,0.8191165167483182,1.0000000000000004
4,0.181,0.9663797223032305,1.0,0.8947368421052632,0.9996996894295348,0.9915031875029786,9,0.7783754079522566,1.0
4,0.205,0.9618099236699482,0.9459459459459459,0.8947368421052632,0.9996296867481007,0.9903004982460619,11,0.7599146912829087,1.0000000000000004
4,0.229,0.9619329883466836,0.9459459459459459,0.8947368421052632,0.999666418497847,0.9905484789054283,16,0.7780369193079482,0.9999999999999998
4,0.254,0.9594360238479324,0.9459459459459459,0.8947368421052632,0.9996942144009313,0.9904426573079669,15,0.7899593329654845,0.9999999999999997
4,0.278,0.9564382652445665,0.9459459459459459,0.8947368421052632,0.9996923419949914,0.9898532599617496,17,0.8042985067408449,1.0000000000000004
4,0.302,0.9556172960804186,0.9459459459459459,0.8947368421052632,0.9997070253006759,0.9899668292289449,16,0.8152773771489421,1.0000000000000009
4,0.327,0.9575842099163006,0.9459459459459459,0.8947368421052632,0.9997346458288312,0.9905307558182906,16,0.8254019524006165,0.9999999999999998
4,0.351,0.9585251193530925,0.9459459459459459,0.8947368421052632,0.9997468030826991,0.9908241509986387,15,0.8293669626235857,0.9999999999999978
4,0.375,0.9596008661617693,0.9459459459459459,0.8947368421052632,0.9997578515120378,0.9911067785567387,15,0.832076326349419,1.0000000000000016
