target_party,observed_party,mini_baseline,aug_baseline,delta_attack,crw_drift_E5-INSTRUCT_α0.3,delta_crw_E5-INSTRUCT_α0.3,reduction_E5-INSTRUCT_α0.3,crw_drift_E5-INSTRUCT_α0.4,delta_crw_E5-INSTRUCT_α0.4,reduction_E5-INSTRUCT_α0.4,crw_drift_ANSWER-CORR_α1.0,delta_crw_ANSWER-CORR_α1.0,reduction_ANSWER-CORR_α1.0,crw_drift_ANSWER-CORR_α1.1,delta_crw_ANSWER-CORR_α1.1,reduction_ANSWER-CORR_α1.1,crw_drift_ANSWER-CORR_α1.5,delta_crw_ANSWER-CORR_α1.5,reduction_ANSWER-CORR_α1.5,crw_drift_QWEN3_α0.6,delta_crw_QWEN3_α0.6,reduction_QWEN3_α0.6
FDP,Green,0.1261515728604857,0.1307798688793882,0.004628296018902495,0.0004114189084651887,0.00447826481241162,3.2416078374877033,-0.0004260886264352004,0.005215751542985092,-12.692695577019308,0.0002600540912509053,0.004528942019937282,2.1466647457171972,0.0005047716591707885,0.004162199070737699,10.070595015124406,-0.0005201081825020881,0.005203749046465395,-12.433366950011049,-0.00016670134054588837,0.005010375491432489,-8.255294626133214
FDP,GLP,0.1451068488912262,0.1569953216935614,0.01188847280233521,-0.0008228378169325978,0.01157774150355892,2.6137192214903737,-0.0002807250574786979,0.011352361291141422,4.509506983003575,0.00017803703170241048,0.011740442011931196,1.2451623759019426,0.00017136897808081586,0.012368572663106009,-4.038364462393318,-0.00024938520545589316,0.013328772384648496,-12.115093387187414,9.535316679210037e-05,0.011723105072514922,1.390992203706809
FDP,Centre,0.1809242989208312,0.1761999829297726,-0.004724315991058603,0.0007774950523037893,-0.004913021908555887,-3.9943542695796586,0.0006581368924735986,-0.005169741972996106,-9.428369795342451,-0.00010468844186201087,-0.0043849120617086845,7.184191954820241,-0.00012802662953900756,-0.004362240679393697,7.664079040228922,0.00015469884402630196,-0.004590954918622714,2.8228652081760175,0.0003454051776095868,-0.0046769728103431,1.0021171489186242
FDP,FDP,0.0442098623180326,0.0519134646673222,0.007703602349289594,-0.0002080432730007034,0.007826294535931103,-1.592659915173611,-7.868303273740607e-05,0.007382868970080003,4.163420756513581,-4.800998607699947e-05,0.007530899760484294,2.2418419458167693,-0.00011135649548429938,0.007467553251077098,3.0641391846278676,-0.000101354415051505,0.00745621755992,3.211287111573291,-0.0003727441974597026,0.0077096035975492,-0.07790184367653108
FDP,SVP,0.0487107985127603,0.0507658926390056,0.0020550941262452993,0.00014736398504230225,0.0021391116018801976,-4.088254380270162,5.5344845061103265e-05,0.0023584905660382002,-14.763140817652598,0.00036140850630279886,0.001855052517590501,9.7339390006568,0.0004894351358417023,0.0018490512693308953,10.025957170674648,0.0003414043454373003,0.0018543857122284013,9.76638546398828,0.0004754322232360039,0.002215127413168899,-7.787151200513831
SVP,SP,0.1250273390198449,0.1251366950992437,0.00010935607939879799,-0.001619003419376694,0.0012462592219183999,-1039.6341463317845,-0.00118824715540769,0.0014069593142047865,-1186.5853658431827,-0.0007508228378161896,0.0006721398050793942,-514.6341463360675,-0.0010235462309484966,0.0004640965320791002,-324.3902438991438,0.0006641381407334057,-0.0007508228378159953,-586.5853658468376,-0.0021897888094041945,0.0005767866382880016,-427.43902438618466
SVP,Green,0.1261515728604857,0.130495809795098,0.0043442369346123055,0.0004114189084651887,0.00401150105888351,7.659247889491327,-0.0004260886264352004,0.005019043961141112,-15.533384497340453,0.0002600540912509053,0.004158865043925597,4.267075978517088,0.0005047716591707885,0.003944820522665815,9.194167306211531,-0.0005201081825020881,0.0047489877894565935,-9.316960859557932,-0.00016670134054588837,0.004582953254273686,-5.4950115119051235
SVP,GLP,0.1451068488912262,0.1513774865171819,0.0062706376259556995,-0.0008228378169325978,0.0061392769696057,2.0948532539380893,-0.0002807250574786979,0.0057345261147623006,8.549553381530172,0.00017803703170241048,0.006201289868289411,1.1059123777020896,0.00017136897808081586,0.00658403614618161,-4.997873245436435,-0.00024938520545589316,0.007922314508080397,-26.33985538070329,9.535316679210037e-05,0.00614661182859072,1.9778817524330639
SVP,Centre,0.1809242989208312,0.1916285253999367,0.010704226479105489,0.0007774950523037893,0.010219458980798624,4.528748520531822,0.0006581368924735986,0.010008081680986491,6.503457297711912,-0.00010468844186201087,0.0107135617541749,-0.08721111317695485,-0.00012802662953900756,0.01078224270648001,-0.7288357316318717,0.00015469884402630196,0.010641546775059102,0.5855603314142921,0.0003454051776095868,0.010448840025389011,2.385846882210396
SVP,FDP,0.0442098623180326,0.0441545174729717,-5.534484506090204e-05,-0.0002080432730007034,-6.934775766680168e-05,-25.301204819510637,-7.868303273740607e-05,-0.00043475709614249763,-685.5421686772931,-4.800998607699947e-05,-0.00021871215879560452,-295.1807228928574,-0.00011135649548429938,-0.0002620545073373018,-373.4939759049543,-0.000101354415051505,-0.00038941433151409854,-603.614457833576,-0.0003727441974597026,-0.0003153989363118975,-469.8795180740488
SVP,SVP,0.0487107985127603,0.05390854631097,0.005197747798209702,0.00014736398504230225,0.005264428334427695,-1.2828736369425275,5.5344845061103265e-05,0.005453134251925396,-4.9134060295048965,0.00036140850630279886,0.0050203775718691,3.412443874281379,0.0004894351358417023,0.004960365089272896,4.56703014752986,0.0003414043454373003,0.005015709934333902,3.502245028866169,0.0004754322232360039,0.005502477848726796,-5.862732520844016
