model,model_display,clone_type,clone_type_display,alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank,avg_composite_rank,overall_rank,ordering_accuracy,negation_invariance,topic_coherence
qwen3,Qwen3,negation_hard,Negation (Hard),2.1,0.4657481079205076,0.44,0.2857142857142857,0.9120050264586584,0.785107410247084,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),2.4,0.4639743769587887,0.44,0.2857142857142857,0.9110836207925942,0.7839631116097189,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),2.7,0.4625616574601913,0.44,0.2857142857142857,0.9103660454326166,0.7830780212024208,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,negation_hard,Negation (Hard),3.0,0.4614580983617314,0.44,0.2857142857142857,0.9097893620415176,0.7823695782171888,0.4869287424604141,0.9213804657424598,0.797083754374274,0.7,0.5,2.4,1.9,8,7,7,7.333333333333333,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.01,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.1,0.4523991231532311,0.4117647058823529,0.2631578947368421,0.9046678675160444,0.7762709791734831,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.2,0.4582837554593288,0.4117647058823529,0.2857142857142857,0.9076243217940612,0.779989378129388,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.3,0.4810347573291902,0.44,0.3090909090909091,0.9184901039853894,0.7950172130658596,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.4,0.5081723314099591,0.4693877551020408,0.3333333333333333,0.9303118256458788,0.811723966944417,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.5,0.5357919966309346,0.5,0.3584905660377358,0.9407141207676204,0.8275277259530427,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
