target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
Centre,32245;32228;32262;32236;32239,Centre,0.1745269682760579,0.1748210294407795,0.0002940611647216096,0.2221162001696141,0.208296659038395,0.04758923189355618,0.03347562959761549,29.657134049796973,0.1927880999247704,0.1854152330351245,0.018261131648712486,0.010594203594344986,41.98495581684316
Centre,32245;32228;32262;32236;32239,FDP,0.0432396605160585,0.043153642624337,-8.601789172150293e-05,0.045180730925371,0.0445712708243366,0.0019410704093124967,0.0014176281999996043,26.966678117476906,0.0442011938483253,0.0437450989805928,0.0009615333322667979,0.0005914563562557998,38.4882108182925
Centre,32245;32228;32262;32236;32239,SVP,0.0466470359168066,0.0470737913486033,0.00042675543179670344,0.0498156949978961,0.0491802294877366,0.0031686590810895005,0.0021064381391332973,33.52272727272929,0.0478919615280007,0.0479839806679818,0.0012449256111941032,0.0009101893193784946,26.888055704351476
FDP,32230;32249;32261;32271;32244,SP,0.1320314625442013,0.1314306709128759,-0.000600791631325398,0.1197415729138314,0.123287643829911,-0.012289889630369907,-0.00814302708296491,33.74206499916455,0.1278392572321644,0.1297849952790102,-0.004192205312036901,-0.001645675633865723,60.74439319227605
FDP,32230;32249;32261;32271;32244,Green,0.1353834930998901,0.1350700945796633,-0.0003133985202267986,0.1299343596801419,0.1330203348963177,-0.005449133419748203,-0.0020497596833455867,62.3837493881678,0.1347726993881307,0.1353308154762771,-0.0006107937117593998,0.00026072089661380304,57.314410480292466
FDP,32230;32249;32261;32271;32244,GLP,0.1619603544203661,0.1613142200244119,-0.0006461343959542065,0.1536906343185959,0.1542927595606441,-0.008269720101770212,-0.007021460463767809,15.094339622633669,0.1572627106437963,0.1587783592320346,-0.00469764377656981,-0.0025358607923773036,46.01845280339726
FDP,32230;32249;32261;32271;32244,Centre,0.1745269682760579,0.1748210294407795,0.0002940611647216096,0.1657298051327982,0.1672794607945067,-0.008797163143259706,-0.0075415686462728115,14.272720382012217,0.1700867113692906,0.1725225513573396,-0.004440256906767304,-0.0022984780834399143,48.23547079141184
FDP,32230;32249;32261;32271;32244,FDP,0.0432396605160585,0.043153642624337,-8.601789172150293e-05,0.0576493243928148,0.0529036706301643,0.014409663876756303,0.009750028005827305,32.336881073577885,0.0490295314758856,0.0456641648129526,0.005789870959827102,0.0025105221886156034,56.63941034204719
FDP,32230;32249;32261;32271;32244,SVP,0.0466470359168066,0.0470737913486033,0.00042675543179670344,0.0537598487152041,0.0520714975381586,0.007112812798397504,0.0049977061895553,29.736570732168456,0.0495029632830327,0.0483100484900889,0.0028559273662260992,0.0012362571414855986,56.712584636939745
SVP,32230;32227;32233;32234;32249,SP,0.1320314625442013,0.1314306709128759,-0.000600791631325398,0.1303051034615152,0.1307785352686621,-0.0017263590826861186,-0.0006521356442138193,62.224797218946335,0.1316693872325367,0.1312439654114646,-0.0003620753116646003,-0.0001867055014113106,48.43462246764266
SVP,32230;32227;32233;32234;32249,Green,0.1353834930998901,0.1350700945796633,-0.0003133985202267986,0.129071513541475,0.1318707624519147,-0.006311979558415087,-0.0031993321277485887,49.313331924795904,0.1345726577794744,0.1347813678578378,-0.000810835320415676,-0.00028872672182547743,64.39144736844207
SVP,32230;32227;32233;32234;32249,GLP,0.1619603544203661,0.1613142200244119,-0.0006461343959542065,0.1642875051343816,0.1621864014381457,0.0023271507140154857,0.0008721814137337969,62.52148997136276,0.1626444967219633,0.1612055307503762,0.0006841423015971904,-0.00010868927403570594,84.11306042880827
SVP,32230;32227;32233;32234;32249,Centre,0.1745269682760579,0.1748210294407795,0.0002940611647216096,0.1661098841892368,0.1674241575580978,-0.008417084086821097,-0.007396871882681705,12.120731997162437,0.1704994638884786,0.1727646017038109,-0.004027504387579317,-0.0020564277369686246,48.940397351010326
SVP,32230;32227;32233;32234;32249,FDP,0.0432396605160585,0.043153642624337,-8.601789172150293e-05,0.0559763097390986,0.0503778119182181,0.012736649223040096,0.0072241692938811025,43.280456520598335,0.0476499111815309,0.0445966094280991,0.004410250665472397,0.0014429668037621024,67.28152403991437
SVP,32230;32227;32233;32234;32249,SVP,0.0466470359168066,0.0470737913486033,0.00042675543179670344,0.0603152122308149,0.0568398226831219,0.013668176314008303,0.009766031334518595,28.549126744073828,0.0513580158006231,0.0491662265751305,0.004710979883816503,0.0020924352265271964,55.58386411890061
