target_party,cloned_questions,party,original,original_crw,crw_drift,worst_case,worst_case_crw,delta_attack_worst,delta_crw_worst,reduction_worst,realistic,realistic_crw,delta_attack_realistic,delta_crw_realistic,reduction_realistic
Centre,,SVP,0.0466470359168066,0.0469784381818112,0.00033140226500460307,0.0498156949978961,0.0469897738729682,0.0031686590810895005,1.1335691157000893e-05,99.6422558922589,0.0478919615280007,0.0469751041550002,0.0012449256111941032,-3.334026811005475e-06,99.73219068022807
FDP,,SP,0.1320314625442013,0.1315693664282093,-0.0004620961159920167,0.1197415729138314,0.1315867033676262,-0.012289889630369907,1.7336939416912056e-05,99.85893331886342,0.1278392572321644,0.13159403822661,-0.004192205312036901,2.4671798400710543e-05,99.41148401463374
FDP,,Green,0.1353834930998901,0.1356608841305574,0.00027739103066731774,0.1299343596801419,0.1356568832983842,-0.005449133419748203,-4.000832173195468e-06,99.92657856093786,0.1347726993881307,0.1356402131643297,-0.0006107937117593998,-2.0670966227709364e-05,96.61572052401026
FDP,,GLP,0.1619603544203661,0.1622970911282673,0.00033673670790118626,0.1536906343185959,0.162299758349716,-0.008269720101770212,2.66722144870446e-06,99.9677471375587,0.1572627106437963,0.1623024255711647,-0.00469764377656981,5.33444289740892e-06,99.88644428672913
FDP,,Centre,0.1745269682760579,0.1742049012861232,-0.0003220669899346995,0.1657298051327982,0.1742095689236585,-0.008797163143259706,4.667637535288316e-06,99.94694155991793,0.1700867113692906,0.1742089021182962,-0.004440256906767304,4.000832173001179e-06,99.90989638083995
FDP,,FDP,0.0432396605160585,0.0433616858973378,0.00012202538127929763,0.0576493243928148,0.0433616858973378,0.014409663876756303,0.0,100.0,0.0490295314758856,0.0433630195080622,0.005789870959827102,1.3336107244008022e-06,99.97696648623685
FDP,,SVP,0.0466470359168066,0.0469784381818112,0.00033140226500460307,0.0537598487152041,0.0469764377657246,0.007112812798397504,-2.0004160866046727e-06,99.97187587887797,0.0495029632830327,0.0469744373496381,0.0028559273662260992,-4.000832173105262e-06,99.85991127714175
SVP,,SP,0.1320314625442013,0.1315693664282093,-0.0004620961159920167,0.1303051034615152,0.131572033649658,-0.0017263590826861186,2.66722144870446e-06,99.84550019312584,0.1316693872325367,0.1315773680925556,-0.0003620753116646003,8.001664346307669e-06,97.79005524858326
SVP,,Green,0.1353834930998901,0.1356608841305574,0.00027739103066731774,0.129071513541475,0.1356682189895413,-0.006311979558415087,7.3348589838817535e-06,99.8837946334268,0.1345726577794744,0.1356502152447625,-0.000810835320415676,-1.0668885794901106e-05,98.68421052632097
SVP,,GLP,0.1619603544203661,0.1622970911282673,0.00033673670790118626,0.1642875051343816,0.1623030923765269,0.0023271507140154857,6.00124825961279e-06,99.74212034384065,0.1626444967219633,0.162299758349716,0.0006841423015971904,2.66722144870446e-06,99.61013645224428
SVP,,Centre,0.1745269682760579,0.1742049012861232,-0.0003220669899346995,0.1661098841892368,0.1742062348968475,-0.008417084086821097,1.3336107242967188e-06,99.98415590588688,0.1704994638884786,0.1742102357290206,-0.004027504387579317,5.33444289740892e-06,99.86754966887534
SVP,,FDP,0.0432396605160585,0.0433616858973378,0.00012202538127929763,0.0559763097390986,0.0433596854812513,0.012736649223040096,-2.0004160865005893e-06,99.98429401602046,0.0476499111815309,0.0433636863134244,0.004410250665472397,2.0004160866046727e-06,99.95464166918525
SVP,,SVP,0.0466470359168066,0.0469784381818112,0.00033140226500460307,0.0603152122308149,0.0469804385978977,0.013668176314008303,2.0004160865005893e-06,99.98536442579797,0.0513580158006231,0.0469744373496381,0.004710979883816503,-4.000832173105262e-06,99.91507430997851
